"Total_ARGs"	"blaZ"	"mecA"	"mecC"	"Category"	"Genome"
17	"100.00;100.00"	"100.00"	0	"MRSA"	"GCA_005705815.1_ASM570581v1"
17	"100.00;100.00"	"100.00"	0	"MRSA"	"GCA_005707015.1_ASM570701v1"
12	"0"	"100.00"	0	"MRSA"	"GCA_005707215.1_ASM570721v1"
16	"100.00;100.00"	"100.00"	0	"MRSA"	"GCA_005707335.1_ASM570733v1"
14	"0"	"100.00"	0	"MRSA"	"GCA_005885975.1_ASM588597v1"
18	"100.00;100.00"	"100.00"	0	"MRSA"	"GCA_005889995.1_ASM588999v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_005890015.1_ASM589001v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_005890035.1_ASM589003v1"
8	"0"	"0"	0	"MSSA"	"GCA_005931015.2_ASM593101v2"
9	"0"	"0"	0	"MSSA"	"GCA_005931035.2_ASM593103v2"
12	"100.00"	"0"	0	"MRSA"	"GCA_005931055.2_ASM593105v2"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_005954685.1_ASM595468v1"
17	"99.88"	"100.00"	0	"MRSA"	"GCA_006088835.1_ASM608883v1"
9	"0"	"0"	0	"MSSA"	"GCA_006094915.1_ASM609491v1"
14	"100.00"	"100.00"	0	"MRSA"	"GCA_006158985.1_ASM615898v1"
10	"0"	"0"	0	"MSSA"	"GCA_006364675.1_ASM636467v1"
15	"0"	"100.00"	0	"MRSA"	"GCA_006364775.1_ASM636477v1"
16	"100.00;99.76"	"100.00"	100	"MRSA"	"GCA_007185035.1_ASM718503v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_007410625.1_ASM741062v1"
11	"100.00"	"0"	0	"MRSA"	"GCA_007726325.1_ASM772632v1"
8	"0"	"0"	0	"MSSA"	"GCA_007726465.1_ASM772646v1"
9	"0"	"0"	0	"MSSA"	"GCA_007726495.1_ASM772649v1"
9	"0"	"0"	0	"MSSA"	"GCA_007726525.1_ASM772652v1"
9	"0"	"0"	0	"MSSA"	"GCA_007726545.1_ASM772654v1"
9	"0"	"0"	0	"MSSA"	"GCA_007726565.1_ASM772656v1"
9	"100.00"	"0"	0	"MRSA"	"GCA_007813675.1_ASM781367v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_007826355.1_ASM782635v1"
10	"0"	"100.00"	0	"MRSA"	"GCA_007954445.1_ASM795444v1"
10	"0"	"100.00"	0	"MRSA"	"GCA_007954465.1_ASM795446v1"
12	"100.00;100.00"	"0"	0	"MRSA"	"GCA_007998145.1_ASM799814v1"
11	"0"	"100.00"	0	"MRSA"	"GCA_008244705.1_ASM824470v1"
11	"0"	"100.00"	0	"MRSA"	"GCA_008244725.1_ASM824472v1"
11	"0"	"100.00"	0	"MRSA"	"GCA_008244745.1_ASM824474v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_008329865.1_ASM832986v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_008329885.1_ASM832988v1"
14	"100.00"	"100.00"	0	"MRSA"	"GCA_008330045.1_ASM833004v1"
12	"100.00"	"0"	0	"MRSA"	"GCA_008330585.1_ASM833058v1"
16	"100.00;100.00"	"100.00"	0	"MRSA"	"GCA_008370815.1_ASM837081v1"
12	"100.00"	"0"	0	"MRSA"	"GCA_008462245.1_ASM846224v1"
16	"0"	"100.00"	0	"MRSA"	"GCA_008619075.1_ASM861907v1"
12	"99.88"	"100.00"	0	"MRSA"	"GCA_008619235.1_ASM861923v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_008619415.1_ASM861941v1"
9	"0"	"0"	0	"MSSA"	"GCA_008619595.1_ASM861959v1"
8	"0"	"0"	0	"MSSA"	"GCA_008619795.1_ASM861979v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_008619935.1_ASM861993v1"
15	"0"	"100.00"	0	"MRSA"	"GCA_008620055.1_ASM862005v1"
14	"100.00"	"0"	0	"MRSA"	"GCA_008620175.1_ASM862017v1"
14	"100.00"	"100.00"	0	"MRSA"	"GCA_008693765.1_ASM869376v1"
21	"100.00"	"100.00"	0	"MRSA"	"GCA_008934005.1_ASM893400v1"
10	"0"	"100.00"	0	"MRSA"	"GCA_008934035.1_ASM893403v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_008934055.1_ASM893405v1"
14	"100.00"	"100.00"	0	"MRSA"	"GCA_008934075.1_ASM893407v1"
19	"100.00"	"100.00"	0	"MRSA"	"GCA_008934095.1_ASM893409v1"
16	"100.00"	"100.00"	0	"MRSA"	"GCA_008934115.1_ASM893411v1"
21	"100.00"	"100.00"	0	"MRSA"	"GCA_008934135.1_ASM893413v1"
14	"100.00;99.88;100.00"	"100.00"	0	"MRSA"	"GCA_008934155.1_ASM893415v1"
14	"0"	"100.00"	0	"MRSA"	"GCA_008934175.1_ASM893417v1"
14	"100.00"	"100.00"	0	"MRSA"	"GCA_008934195.1_ASM893419v1"
16	"100.00;100.00"	"100.00"	0	"MRSA"	"GCA_008934215.1_ASM893421v1"
18	"100.00"	"100.00"	0	"MRSA"	"GCA_008934235.1_ASM893423v1"
10	"0"	"100.00"	0	"MRSA"	"GCA_008934255.1_ASM893425v1"
21	"100.00"	"100.00"	0	"MRSA"	"GCA_008934275.1_ASM893427v1"
13	"100.00"	"100.00"	0	"MRSA"	"GCA_008934295.1_ASM893429v1"
21	"100.00"	"100.00"	0	"MRSA"	"GCA_008934315.1_ASM893431v1"
12	"100.00"	"100.00"	0	"MRSA"	"GCA_008934335.1_ASM893433v1"
12	"100.00;100.00"	"100.00"	0	"MRSA"	"GCA_008934355.1_ASM893435v1"
15	"100.00;100.00"	"100.00"	0	"MRSA"	"GCA_008934375.1_ASM893437v1"
19	"100.00"	"100.00"	0	"MRSA"	"GCA_008934395.1_ASM893439v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_008934415.1_ASM893441v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_008934435.1_ASM893443v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_008934455.1_ASM893445v1"
21	"100.00"	"100.00"	0	"MRSA"	"GCA_008934475.1_ASM893447v1"
21	"100.00"	"100.00"	0	"MRSA"	"GCA_008934495.1_ASM893449v1"
13	"100.00"	"100.00"	0	"MRSA"	"GCA_008934515.1_ASM893451v1"
21	"100.00"	"100.00"	0	"MRSA"	"GCA_008934535.1_ASM893453v1"
10	"0"	"100.00"	0	"MRSA"	"GCA_008934555.1_ASM893455v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_008934575.1_ASM893457v1"
16	"100.00"	"100.00"	0	"MRSA"	"GCA_008934595.1_ASM893459v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_008934615.1_ASM893461v1"
21	"100.00"	"100.00"	0	"MRSA"	"GCA_008934635.1_ASM893463v1"
16	"100.00"	"100.00"	0	"MRSA"	"GCA_008934655.1_ASM893465v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_008934675.1_ASM893467v1"
12	"100.00"	"100.00"	0	"MRSA"	"GCA_008934695.1_ASM893469v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_008934715.1_ASM893471v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_008934735.1_ASM893473v1"
21	"100.00"	"100.00"	0	"MRSA"	"GCA_008934755.1_ASM893475v1"
18	"100.00"	"100.00"	0	"MRSA"	"GCA_008934775.1_ASM893477v1"
13	"100.00"	"100.00"	0	"MRSA"	"GCA_008934795.1_ASM893479v1"
14	"100.00"	"100.00"	0	"MRSA"	"GCA_008934815.1_ASM893481v1"
12	"100.00"	"100.00"	0	"MRSA"	"GCA_008934835.1_ASM893483v1"
15	"0"	"100.00"	0	"MRSA"	"GCA_008934855.1_ASM893485v1"
21	"100.00"	"100.00"	0	"MRSA"	"GCA_008934875.1_ASM893487v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_008934895.1_ASM893489v1"
11	"100.00"	"100.00"	0	"MRSA"	"GCA_008934915.1_ASM893491v1"
21	"100.00"	"100.00"	0	"MRSA"	"GCA_008934935.1_ASM893493v1"
11	"99.76"	"100.00"	0	"MRSA"	"GCA_008934955.1_ASM893495v1"
21	"100.00"	"100.00"	0	"MRSA"	"GCA_008934975.1_ASM893497v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_008934995.1_ASM893499v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_008935015.1_ASM893501v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_008935035.1_ASM893503v1"
12	"100.00"	"100.00"	0	"MRSA"	"GCA_008935095.1_ASM893509v1"
12	"100.00"	"100.00"	0	"MRSA"	"GCA_008935115.1_ASM893511v1"
18	"100.00"	"100.00"	0	"MRSA"	"GCA_008935135.1_ASM893513v1"
19	"100.00"	"100.00"	0	"MRSA"	"GCA_008935155.1_ASM893515v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_008935175.1_ASM893517v1"
21	"100.00"	"100.00"	0	"MRSA"	"GCA_008935195.1_ASM893519v1"
20	"100.00"	"100.00"	0	"MRSA"	"GCA_008935215.1_ASM893521v1"
19	"100.00"	"100.00"	0	"MRSA"	"GCA_008935235.1_ASM893523v1"
14	"100.00"	"100.00"	0	"MRSA"	"GCA_008935255.1_ASM893525v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_008935275.1_ASM893527v1"
18	"100.00;100.00"	"100.00"	0	"MRSA"	"GCA_008935295.1_ASM893529v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_008935315.1_ASM893531v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_008935335.1_ASM893533v1"
12	"100.00"	"100.00"	0	"MRSA"	"GCA_008935355.1_ASM893535v1"
17	"100.00"	"100.00"	0	"MRSA"	"GCA_008935375.1_ASM893537v1"
21	"100.00"	"100.00"	0	"MRSA"	"GCA_008935395.1_ASM893539v1"
14	"100.00"	"100.00"	0	"MRSA"	"GCA_008935415.1_ASM893541v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_008935435.1_ASM893543v1"
11	"100.00"	"100.00"	0	"MRSA"	"GCA_008935455.1_ASM893545v1"
21	"100.00"	"100.00"	0	"MRSA"	"GCA_008935475.1_ASM893547v1"
15	"100.00;100.00;100.00"	"100.00"	0	"MRSA"	"GCA_008935495.1_ASM893549v1"
18	"100.00"	"100.00"	0	"MRSA"	"GCA_008935515.1_ASM893551v1"
17	"100.00"	"100.00"	0	"MRSA"	"GCA_008935535.1_ASM893553v1"
18	"100.00"	"100.00"	0	"MRSA"	"GCA_008935555.1_ASM893555v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_008935575.1_ASM893557v1"
13	"100.00"	"100.00"	0	"MRSA"	"GCA_008935595.1_ASM893559v1"
21	"100.00"	"100.00"	0	"MRSA"	"GCA_008935615.1_ASM893561v1"
21	"100.00"	"100.00"	0	"MRSA"	"GCA_008935635.1_ASM893563v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_008935655.1_ASM893565v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_008935675.1_ASM893567v1"
14	"100.00"	"100.00"	0	"MRSA"	"GCA_008935695.1_ASM893569v1"
16	"100.00"	"100.00"	0	"MRSA"	"GCA_008935715.1_ASM893571v1"
18	"100.00"	"100.00"	0	"MRSA"	"GCA_008935735.1_ASM893573v1"
10	"0"	"100.00"	0	"MRSA"	"GCA_008935755.1_ASM893575v1"
21	"100.00"	"100.00"	0	"MRSA"	"GCA_008935775.1_ASM893577v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_008935795.1_ASM893579v1"
21	"100.00"	"100.00"	0	"MRSA"	"GCA_008935815.1_ASM893581v1"
18	"100.00"	"100.00"	0	"MRSA"	"GCA_008935835.1_ASM893583v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_008935855.1_ASM893585v1"
21	"100.00"	"100.00"	0	"MRSA"	"GCA_008935875.1_ASM893587v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_008935895.1_ASM893589v1"
21	"100.00"	"100.00"	0	"MRSA"	"GCA_008935915.1_ASM893591v1"
12	"100.00"	"100.00"	0	"MRSA"	"GCA_008935935.1_ASM893593v1"
21	"100.00"	"100.00"	0	"MRSA"	"GCA_008935955.1_ASM893595v1"
16	"100.00"	"100.00"	0	"MRSA"	"GCA_008935975.1_ASM893597v1"
13	"0"	"100.00"	0	"MRSA"	"GCA_008935995.1_ASM893599v1"
21	"100.00"	"100.00"	0	"MRSA"	"GCA_008936015.1_ASM893601v1"
21	"100.00"	"100.00"	0	"MRSA"	"GCA_008936035.1_ASM893603v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_008936055.1_ASM893605v1"
15	"100.00;100.00;100.00;99.88;100.00"	"100.00"	0	"MRSA"	"GCA_008936075.1_ASM893607v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_008936095.1_ASM893609v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_008936115.1_ASM893611v1"
14	"0"	"100.00"	0	"MRSA"	"GCA_008936135.1_ASM893613v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_008936155.1_ASM893615v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_008936175.1_ASM893617v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_008936195.1_ASM893619v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_008936215.1_ASM893621v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_008936235.1_ASM893623v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_008936255.1_ASM893625v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_008936275.1_ASM893627v1"
14	"100.00"	"100.00"	0	"MRSA"	"GCA_008936295.1_ASM893629v1"
13	"100.00"	"100.00"	0	"MRSA"	"GCA_008936315.1_ASM893631v1"
21	"100.00"	"100.00"	0	"MRSA"	"GCA_008936335.1_ASM893633v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_008936355.1_ASM893635v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_008936375.1_ASM893637v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_008936395.1_ASM893639v1"
17	"100.00"	"100.00"	0	"MRSA"	"GCA_008936415.1_ASM893641v1"
12	"100.00"	"100.00"	0	"MRSA"	"GCA_008936435.1_ASM893643v1"
21	"100.00"	"100.00"	0	"MRSA"	"GCA_008936455.1_ASM893645v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_008936475.1_ASM893647v1"
14	"100.00"	"100.00"	0	"MRSA"	"GCA_008936495.1_ASM893649v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_008936515.1_ASM893651v1"
14	"0"	"100.00"	0	"MRSA"	"GCA_008936535.1_ASM893653v1"
18	"100.00"	"100.00"	0	"MRSA"	"GCA_008936555.1_ASM893655v1"
11	"100.00"	"100.00"	0	"MRSA"	"GCA_008936575.1_ASM893657v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_008936595.1_ASM893659v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_008936615.1_ASM893661v1"
13	"100.00"	"100.00"	0	"MRSA"	"GCA_008936635.1_ASM893663v1"
13	"100.00"	"100.00"	0	"MRSA"	"GCA_008936655.1_ASM893665v1"
18	"100.00"	"100.00"	0	"MRSA"	"GCA_008936675.1_ASM893667v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_008936695.1_ASM893669v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_008936715.1_ASM893671v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_008936735.1_ASM893673v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_008936755.1_ASM893675v1"
12	"100.00"	"100.00"	0	"MRSA"	"GCA_008936775.1_ASM893677v1"
16	"99.88"	"100.00"	0	"MRSA"	"GCA_008936795.1_ASM893679v1"
13	"100.00"	"100.00"	0	"MRSA"	"GCA_008936815.1_ASM893681v1"
21	"100.00"	"100.00"	0	"MRSA"	"GCA_008936835.1_ASM893683v1"
14	"100.00"	"100.00"	0	"MRSA"	"GCA_008936855.1_ASM893685v1"
13	"100.00"	"100.00"	0	"MRSA"	"GCA_008936875.1_ASM893687v1"
15	"100.00;100.00;100.00;100.00"	"100.00"	0	"MRSA"	"GCA_008936895.1_ASM893689v1"
14	"100.00"	"100.00"	0	"MRSA"	"GCA_008936915.1_ASM893691v1"
21	"100.00"	"100.00"	0	"MRSA"	"GCA_008937055.1_ASM893705v1"
20	"100.00"	"100.00"	0	"MRSA"	"GCA_008937295.1_ASM893729v1"
21	"100.00"	"100.00"	0	"MRSA"	"GCA_008937415.1_ASM893741v1"
14	"100.00"	"100.00"	0	"MRSA"	"GCA_008937635.1_ASM893763v1"
18	"100.00"	"100.00"	0	"MRSA"	"GCA_008937855.1_ASM893785v1"
17	"100.00;100.00;100.00;100.00"	"100.00"	0	"MRSA"	"GCA_008938015.1_ASM893801v1"
11	"0"	"100.00"	0	"MRSA"	"GCA_008938075.1_ASM893807v1"
14	"100.00"	"100.00"	0	"MRSA"	"GCA_008938095.1_ASM893809v1"
16	"0"	"100.00"	0	"MRSA"	"GCA_009176765.1_ASM917676v1"
18	"100.00"	"100.00"	0	"MRSA"	"GCA_009176785.1_ASM917678v1"
18	"100.00"	"100.00"	0	"MRSA"	"GCA_009176875.1_ASM917687v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_009650155.1_ASM965015v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_009684655.1_ASM968465v1"
12	"100.00"	"0"	0	"MRSA"	"GCA_009728755.1_ASM972875v1"
12	"100.00"	"0"	0	"MRSA"	"GCA_009728775.1_ASM972877v1"
8	"0"	"0"	0	"MSSA"	"GCA_009731595.1_ASM973159v1"
16	"100.00"	"100.00"	0	"MRSA"	"GCA_009739675.1_ASM973967v1"
16	"100.00"	"100.00"	0	"MRSA"	"GCA_009739695.1_ASM973969v1"
16	"100.00"	"100.00"	0	"MRSA"	"GCA_009739715.1_ASM973971v1"
14	"0"	"100.00"	0	"MRSA"	"GCA_009739735.1_ASM973973v1"
14	"0"	"100.00"	0	"MRSA"	"GCA_009739755.1_ASM973975v1"
14	"0"	"100.00"	0	"MRSA"	"GCA_009739775.1_ASM973977v1"
14	"0"	"100.00"	0	"MRSA"	"GCA_009739795.1_ASM973979v1"
14	"0"	"100.00"	0	"MRSA"	"GCA_009739825.1_ASM973982v1"
14	"0"	"100.00"	0	"MRSA"	"GCA_009739845.1_ASM973984v1"
14	"0"	"100.00"	0	"MRSA"	"GCA_009739865.1_ASM973986v1"
14	"0"	"100.00"	0	"MRSA"	"GCA_009739885.1_ASM973988v1"
14	"0"	"100.00"	0	"MRSA"	"GCA_009740205.1_ASM974020v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_009769095.1_ASM976909v1"
13	"100.00"	"100.00"	0	"MRSA"	"GCA_009857055.1_ASM985705v1"
8	"0"	"0"	0	"MSSA"	"GCA_009873335.1_ASM987333v1"
9	"100.00"	"0"	0	"MRSA"	"GCA_009911815.1_ASM991181v1"
9	"0"	"0"	0	"MSSA"	"GCA_009911835.1_ASM991183v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_009911855.1_ASM991185v1"
9	"0"	"0"	0	"MSSA"	"GCA_009911895.1_ASM991189v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_009911965.1_ASM991196v1"
10	"0"	"0"	0	"MSSA"	"GCA_009912015.1_ASM991201v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_009912035.1_ASM991203v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_009912055.1_ASM991205v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_009912075.1_ASM991207v1"
9	"0"	"0"	0	"MSSA"	"GCA_009912095.1_ASM991209v1"
9	"100.00"	"0"	0	"MRSA"	"GCA_009912115.1_ASM991211v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_009912155.1_ASM991215v1"
11	"100.00"	"0"	0	"MRSA"	"GCA_009912195.1_ASM991219v1"
9	"100.00"	"0"	0	"MRSA"	"GCA_009912255.1_ASM991225v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_009912295.1_ASM991229v1"
9	"100.00"	"0"	0	"MRSA"	"GCA_009912335.1_ASM991233v1"
9	"100.00"	"0"	0	"MRSA"	"GCA_009912355.1_ASM991235v1"
9	"100.00"	"0"	0	"MRSA"	"GCA_009912375.1_ASM991237v1"
11	"100.00"	"0"	0	"MRSA"	"GCA_009912415.1_ASM991241v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_009912435.1_ASM991243v1"
8	"0"	"0"	0	"MSSA"	"GCA_009912455.1_ASM991245v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_009912475.1_ASM991247v1"
12	"100.00"	"0"	0	"MRSA"	"GCA_009912495.1_ASM991249v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_009912535.1_ASM991253v1"
10	"100.00;100.00;100.00"	"0"	0	"MRSA"	"GCA_009912555.1_ASM991255v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_009912595.1_ASM991259v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_009912615.1_ASM991261v1"
9	"0"	"0"	0	"MSSA"	"GCA_009912635.1_ASM991263v1"
11	"99.88"	"0"	0	"MRSA"	"GCA_009912655.1_ASM991265v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_009912675.1_ASM991267v1"
9	"100.00"	"0"	0	"MRSA"	"GCA_009912695.1_ASM991269v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_009912715.1_ASM991271v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_009912735.1_ASM991273v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_009912755.1_ASM991275v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_009912775.1_ASM991277v1"
11	"100.00"	"0"	0	"MRSA"	"GCA_009912795.1_ASM991279v1"
8	"0"	"0"	0	"MSSA"	"GCA_009912815.1_ASM991281v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_009912835.1_ASM991283v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_009912855.1_ASM991285v1"
9	"100.00"	"0"	0	"MRSA"	"GCA_009912875.1_ASM991287v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_009912895.1_ASM991289v1"
11	"100.00"	"0"	0	"MRSA"	"GCA_009912915.1_ASM991291v1"
9	"0"	"0"	0	"MSSA"	"GCA_009912935.1_ASM991293v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_009912955.1_ASM991295v1"
13	"0"	"100.00"	0	"MRSA"	"GCA_009912975.1_ASM991297v1"
14	"0"	"100.00"	0	"MRSA"	"GCA_009912995.1_ASM991299v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_009913015.1_ASM991301v1"
10	"100.00;100.00;100.00;100.00"	"0"	0	"MRSA"	"GCA_009913035.1_ASM991303v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_009913055.1_ASM991305v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_009913075.1_ASM991307v1"
14	"100.00"	"100.00"	0	"MRSA"	"GCA_009913095.1_ASM991309v1"
13	"100.00"	"100.00"	0	"MRSA"	"GCA_009913115.1_ASM991311v1"
14	"100.00"	"100.00"	0	"MRSA"	"GCA_009913135.1_ASM991313v1"
14	"100.00"	"100.00"	0	"MRSA"	"GCA_009913155.1_ASM991315v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_009913175.1_ASM991317v1"
14	"0"	"100.00"	0	"MRSA"	"GCA_009913195.1_ASM991319v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_009913215.1_ASM991321v1"
9	"0"	"100.00"	0	"MRSA"	"GCA_009914455.1_ASM991445v1"
11	"100.00;100.00"	"0"	0	"MRSA"	"GCA_009937785.1_ASM993778v1"
20	"100.00"	"100.00"	0	"MRSA"	"GCA_010669265.1_ASM1066926v1"
8	"0"	"0"	0	"MSSA"	"GCA_011032785.1_ASM1103278v1"
11	"100.00"	"100.00"	0	"MRSA"	"GCA_011035105.1_ASM1103510v1"
9	"0"	"0"	0	"MSSA"	"GCA_012044215.1_ASM1204421v1"
10	"99.88"	"0"	0	"MRSA"	"GCA_012044475.1_ASM1204447v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_012974825.1_ASM1297482v1"
13	"0"	"100.00"	0	"MRSA"	"GCA_013003945.1_ASM1300394v1"
15	"0"	"0"	0	"MSSA"	"GCA_013004085.1_ASM1300408v1"
10	"100.00"	"100.00"	0	"MRSA"	"GCA_013008375.1_ASM1300837v1"
13	"100.00"	"100.00"	0	"MRSA"	"GCA_013046865.1_ASM1304686v1"
14	"100.00"	"100.00"	0	"MRSA"	"GCA_013046885.1_ASM1304688v1"
8	"0"	"0"	0	"MSSA"	"GCA_013187685.1_ASM1318768v1"
14	"100.00"	"0"	0	"MRSA"	"GCA_013305885.1_ASM1330588v1"
18	"100.00"	"100.00"	0	"MRSA"	"GCA_013305905.1_ASM1330590v1"
11	"100.00"	"0"	0	"MRSA"	"GCA_013305955.1_ASM1330595v1"
16	"100.00;100.00;100.00"	"100.00"	0	"MRSA"	"GCA_013307005.2_ASM1330700v2"
14	"100.00"	"100.00"	0	"MRSA"	"GCA_013307025.1_ASM1330702v1"
15	"100.00;100.00"	"100.00"	0	"MRSA"	"GCA_013307065.1_ASM1330706v1"
12	"100.00"	"0"	0	"MRSA"	"GCA_013307085.1_ASM1330708v1"
8	"0"	"0"	0	"MSSA"	"GCA_013363895.1_ASM1336389v1"
20	"100.00"	"100.00"	0	"MRSA"	"GCA_013389715.1_ASM1338971v1"
11	"100.00"	"100.00"	0	"MRSA"	"GCA_013394425.1_ASM1339442v1"
12	"100.00"	"100.00"	0	"MRSA"	"GCA_013414865.1_ASM1341486v1"
15	"100.00"	"100.00"	0	"MRSA"	"GCA_013415955.1_ASM1341595v1"
9	"0"	"100.00"	0	"MRSA"	"GCA_013415975.1_ASM1341597v1"
12	"99.88"	"100.00"	0	"MRSA"	"GCA_013415995.1_ASM1341599v1"
13	"100.00"	"100.00"	0	"MRSA"	"GCA_013426235.1_ASM1342623v1"
10	"100.00"	"0"	0	"MRSA"	"GCA_013467165.1_ASM1346716v1"
11	"100.00"	"100.00"	0	"MRSA"	"GCA_013467405.1_ASM1346740v1"
13	"100.00"	"100.00"	0	"MRSA"	"GCA_013836525.1_ASM1383652v1"
13	"100.00"	"100.00"	0	"MRSA"	"GCA_013836745.1_ASM1383674v1"
11	"0"	"100.00"	0	"MRSA"	"GCA_014696255.2_ASM1469625v2"
9	"0"	"0"	0	"MSSA"	"GCA_014696415.2_ASM1469641v2"
9	"0"	"0"	0	"MSSA"	"GCA_014696535.2_ASM1469653v2"
10	"0"	"100.00"	0	"MRSA"	"GCA_014696685.2_ASM1469668v2"
9	"0"	"0"	0	"MSSA"	"GCA_014696835.2_ASM1469683v2"
11	"0"	"100.00"	0	"MRSA"	"GCA_014696975.2_ASM1469697v2"
16	"0"	"100.00"	0	"MRSA"	"GCA_014725515.1_ASM1472551v1"
19	"100.00"	"100.00"	0	"MRSA"	"GCA_014725535.1_ASM1472553v1"
11	"100.00"	"100.00"	0	"MRSA"	"GCA_014725555.1_ASM1472555v1"
18	"100.00"	"100.00"	0	"MRSA"	"GCA_014725575.1_ASM1472557v1"
12	"100.00"	"100.00"	0	"MRSA"	"GCA_014725595.1_ASM1472559v1"
15	"99.88"	"100.00"	0	"MRSA"	"GCA_014725615.1_ASM1472561v1"
12	"100.00"	"100.00"	0	"MRSA"	"GCA_014725635.1_ASM1472563v1"
14	"100.00;100.00;100.00"	"100.00"	0	"MRSA"	"GCA_014725655.1_ASM1472565v1"
